Modelling Realm - Primary,Branded Variable Name,Variable name,CMIP7 Compound Name,Description,Units (from Physical Parameter),Dimensions,NorESM3 name (dependency),CMIP7 Freq.,notes,,
land,nOrgSoil_tavg-hxy-lnd,nOrgSoil,land.nOrgSoil.tavg-hxy-lnd.yr.glb,Nitrogen Organic in Soil (including below-ground litter),kg m-2 ,longitude latitude time,TOTSOMN,yr,,,
land,npp_tavg-u-hxy-lnd,npp,land.npp.tavg-u-hxy-lnd.mon.glb,Net Primary Production,kg m-2 s-1,longitude latitude time,FATES_NPP*FATES_FRAC,mon,,,
land,nppVgt_tavg-u-hxy-multi,npppft,land.nppVgt.tavg-u-hxy-multi.mon.glb,Vegtype level NPP,kg m-2 s-1,longitude latitude pft time,FATES_NPP_PF * FATES_FRAC,mon,,,
land,nSoil_tavg-u-hxy-lnd,nSoil,land.nSoil.tavg-u-hxy-lnd.yr.glb,Nitrogen in Soil,kg m-2 ,longitude latitude time,TOTSOMN+SMINN,yr,,,
land,,nSoilpft,land.nSoilVgt.tavg-hxy-multi.yr.glb,Vegtype level Nitrogen in Soil,kg m-2 ,longitude latitude pft time,,yr,not possible - column level,TOTSOMN+SMINN,
land,nVeg_tavg-u-hxy-lnd,nVeg,land.nVeg.tavg-u-hxy-lnd.yr.glb,Nitrogen in Vegetation,kg m-2 ,longitude latitude time,,yr,,,
land,,nVegpft,land.nVegVgt.tavg-hxy-multi.yr.glb,Vegtype level Nitrogen in Vegetation,kg m-2 ,longitude latitude pft time,,yr,,,
land,,oceanCoverFrac,land.oceanCoverFrac.tavg-u-hxy-u.yr.glb,Fractional Ocean Cover,,longitude latitude time,,,,,
land,,pch4,land.pch4.tavg-u-hxy-lnd.mon.glb,Permafrost CH4 flux,kg m-2 s-1,longitude latitude time,,mon,,,
land,,pco2,land.pco2.tavg-u-hxy-lnd.mon.glb,Permafrost CO2 flux,kg m-2 s-1,longitude latitude time,,mon,,,
atm,pr_tavg-u-hxy-u,pr,atmos.pr.tavg-u-hxy-u.mon.glb,Precipitation,kg m-2 s-1,longitude latitude time,RAIN + SNOW,mon,,,
atm,huss_tavg-h2m-hxy-u,qair,atmos.huss.tavg-h2m-hxy-u.mon.glb,Surface specific humidity,kg kg-1,longitude latitude time,RH2M/100,mon,,,
land,hflsSens_tavg-u-hxy-lnd,qh,land.hflsSens.tavg-u-hxy-lnd.mon.glb,Sensible heat flux,W m-2,longitude latitude time,FSH,mon,,,
land,hflsLat_tavg-u-hxy-lnd,qle,land.hflsLat.tavg-u-hxy-lnd.mon.glb,Latent heat flux,W m-2,longitude latitude time,EFLX_LH_TOT,mon,,,
land,qsb_tavg-u-hxy-lnd,qsb,land.qsb.tavg-u-hxy-lnd.mon.glb,Subsurface runoff,kg m-2 s-1,longitude latitude time,QDRAI,mon,,,
land,ra_tavg-u-hxy-lnd,ra,land.ra.tavg-u-hxy-lnd.mon.glb,Autotrophic (Plant) Respiration,kg m-2 s-1,longitude latitude time,FATES_AUTORESP*FATES_FRAC,mon,,,
atm,prra_tavg-u-hxy-u,rainf,atmos.prLiquid.tavg-u-hxy-u.mon.glb,Rainfall rate,kg m-2 s-1,longitude latitude time,RAIN,mon,,,
land,rh_tavg-u-hxy-lnd,rh,land.rh.tavg-u-hxy-lnd.mon.glb,Heterotrophic Respiration,kg m-2 s-1,longitude latitude time,HR/1000,mon,,,
land,rhVgt_tavg-u-hxy-multi,rhpft,land.rhVgt.tavg-u-hxy-multi.mon.glb,Vegtype level Rh,kg m-2 s-1,longitude latitude pft time,,mon,,,
land,rhPool_tavg-sl-hxy-lnd,rhPools,land.rhPool.tavg-sl-hxy-lnd.mon.glb,Carbon Flux from individual soil pools,kg m-2 s-1,longitude latitude soilpools time,,mon,,,
land,,rnpft,land.rnVgt.tavg-u-hxy-multi.mon.glb,Vegtype level net radiation,W m-2,longitude latitude pft time,,mon,,FSA - FIRA,
atm,rsds_tavg-u-hxy-u,rsds,atmos.rsds.tavg-u-hxy-u.mon.glb,Surface Downwelling Shortwave Radiation,W m-2,longitude latitude time,FSDS,mon,,,
land,,shflxpft,land.shflxVgt.tavg-u-hxy-multi.mon.glb,Vegtype level sensible heat flux,W m-2,longitude latitude pft time,,mon,,FSH,
land,,snow_depthpft,land.snowdepthVgt.tavg-u-hxy-multi.mon.glb,Vegtype level snow depth or snow water equivalent,m m-2,longitude latitude pft time,,mon,not possible - column level,SNOWDP,
land,snowDepth_tavg-u-hxy-lnd,snowDepth,land.snowDepth.tavg-u-hxy-lnd.mon.glb,Total snow depth,m,longitude latitude time,SNOWDP,mon,,,
atm,prsn_tavg-u-hxy-u,snowf,atmos.prsn.tavg-u-hxy-u.mon.glb,Snowfall rate,kg m-2 s-1,longitude latitude time,SNOW,mon,,,
land,soilIce_tavg-sl-hxy-lnd,soilIce,land.soilIce.tavg-sl-hxy-lnd.mon.glb,Soil layer ice content,kg m-2,longitude latitude sdepth time,SOILICE,mon,,,
land,,soilR,land.soilR.tavg-u-hxy-lnd.mon.glb,Soil Respiration,kg m-2 s-1,longitude latitude time,"(HR/1000)+FATES_FRAC*(FATES_FROOTMAINTAR+FATES_CROOTMAINTAR+FATES_GROWTH_RESP*( (FATES_CROOT_ALLOC+FATES_FROOT_ALLOC)/
(FATES_SEED_ALLOC+FATES_LEAF_ALLOC+FATES_STEM_ALLOC+FATES_CROOT_ALLOC+FATES_FROOT_ALLOC)))",mon,,,
land,rhSoilVr_tavg-sl-hxy-lnd,soilRh,land.rhSoilVr.tavg-sl-hxy-lnd.mon.glb,Vertically resolved soil respiration,kg m-2 s-1,longitude latitude sdepth time,HR_vr /1000,mon,,,
land,tsl_tavg-sl-hxy-lnd,soilT,land.tsl.tavg-sl-hxy-lnd.mon.glb,Soil temperature per layer,K,longitude latitude sdepth time,TSOI * DZSOI,mon,,,
land,,soilWet,land.soilWetness.tavg-u-hxy-lnd.mon.glb,Total soil wetness,(-),longitude latitude time,,mon,,,
land,swe_tavg-u-hxy-lnd,swe,land.swe.tavg-u-hxy-lnd.mon.glb,Snow water equivalent,kg m-2,longitude latitude time,H2OSNO,mon,,,
land,rsn_tavg-u-hxy-lnd,swnet,land.rsn.tavg-u-hxy-lnd.mon.glb,Net shortwave radiation,W m-2,longitude latitude time,FSDS-FSR,mon,,,
land,tas_tavg-h2m-hxy-u,tair,land.tas.tavg-h2m-hxy-u.mon.glb,Surface air temperature,K,longitude latitude time,TSA,mon,,,
land,tCanopy_tavg-u-hxy-lnd,tcan,land.tCanopy.tavg-u-hxy-lnd.mon.glb,Canopy temperature,K,longitude latitude time,FATES_TVEG+273.15,mon,,,
land,,terp,land.terp.tavg-u-hxy-lnd.mon.glb,Emission flux of mono-terpenes,kg m-2 s-1,longitude latitude time,,mon,,,
land,,terppft,land.terpVgt.tavg-u-hxy-multi.mon.glb,Emission flux of mono-terpenes by vegetation type,kg m-2 s-1,longitude latitude pft time,,mon,not possible - clm x pft,,
land,,transpft,land.transVgt.tavg-u-hxy-multi.mon.glb,Vegtype level transpiration,W m-2,longitude latitude pft time,,mon,not possible - clm x pft,QVEGT,
land,tran_tavg-u-hxy-lnd,tveg,land.tran.tavg-u-hxy-lnd.mon.glb,Transpiration,kg m-2 s-1,longitude latitude time,QVEGT,mon,,,
land,wetlandFrac_tavg-u-hxy-u,wetfrac,land.wetlandFrac.tavg-u-hxy-u.mon.glb,Wetland fraction,%,longitude latitude time,FINUNDATED,mon,,,
